"评论编号","评论用户","评论微博","评论内容"
"14001","店长是神经病","1134","不会抽玫瑰金吧[doge][doge][doge]"
"14002","沈程鹏","1134","遵纪守法，大奖抽我[doge][喵喵][二哈]"
"14003","葡萄架下馋狐狸","1134","[爱你][爱你][爱你]"
"14004","与小羽","1134","我也乐乐[doge]"
"14005","手机用户凌志","1134","我也乐乐[doge]"
"14006","容和昊然","1134","对jcss抽的奖很是好奇，希望能满足我的好奇心！[憧憬]"
"14007","一个不愿透露姓名的大帅比","1134","要是说到id，我这个id中奖了的话我到底给不给你们姓名地址呢？[二哈][二哈]"
"14008","拿朕的尚方宝剑来","1134","说不定呢~"
"14009","新兰如樱","1134","[好喜欢][鼓掌][鼓掌]"
"14010","太刀川璐璐SAMA","1134","哇～祝大家新年快乐[憧憬][憧憬][憧憬]"
"14011","商榑","1134","就是喜欢这样硬核的！[doge]"
"14012","小妹儿妹儿","1134","听说是玫瑰金手铐[吃惊][吃惊][吃惊][吃惊][吃惊][吃惊]"
"14013","58jinshu爱中医","1134","听说是玫瑰金手铐[吃惊][吃惊][吃惊][吃惊][吃惊][吃惊]"
"14014","末日anger","1134","我来尝试着抽一些，我要当欧皇！"
"14015","Rai义一","1134","希望新的一年可以进入公检法"
"14016","Victoria英","1134","祝福国泰民安[干杯]减少警Sir伤亡最重要……"
"14017","妩媚幽香","1134","[good]"
"14018","小妹儿妹儿","1134","所以会有郑重其事的被读出获奖ID吗？"
"14019","爱上艾沙克","1134","所以会有郑重其事的被读出获奖ID吗？"
"14020","三木白水","1134","转了🤓🤓🤓"
"14021","斯塔克的奇异果","1134","掐指一算，有我一份[笑而不语]"
"14022","拥抱自然Leet","1134","送我一起特训营就很好的。帮我发函把假一起，然后我就去参训，是不是异想天开。"
"14023","露水520a","1134","转发微博"
"14024","我现在要去丢麦","1134","恭喜恭喜[干杯][干杯][干杯]"
"14025","爱吃小鱼干的猫玖","1134","在这里来一波抽奖吧，哈哈哈哈哈哈哈哈哈"
"14026","普通人類c","1134","玫瑰金手铐??[doge]"
"14027","快把为师的马牵来","1134","奖品难道是玫瑰金手铐一副？"
"14028","屋顶花园90198","1134","[给你小心心][给你小心心][给你小心心]"
"14029","吃不饱的猫猫","1134","[给你小心心][给你小心心][给你小心心]"
"14030","半夏18896","1134","[羞嗒嗒]"
"14031","ASCE裴夏","1134","[喵喵]我要抽自家的"
"14032","随遇而安随势而为随缘而生","1134","转起来！看看运气如何😇😇😇"
"14033","凉眸V温瞳","1134","所以奖品是啥[doge]"
"14034","小兔崽子我给你打包早饭去","1134","先把奖品亮出来！！"
"14035","时光_吹老少年心","1134","加油"
"14036","MITFBOYSMI","1134","[爱你][爱你][太开心][太开心][good][good]"
"14037","奔跑的勇士2018","1134","呱唧呱唧[鼓掌]"
"14038","就爱吃西红柿槌肉","1134","转发微博"
"14039","杨博俊","1134","转发微博"
"14040","旺旺饼儿","1134","[污]"
"14041","牛城勇士","1134","[good]"
"14042","九月-秋意浓","1134","转起来[耶]"
"14043","十八子悟_假行僧","1134","坏蛋在这里！🙋🙋！别抽歪了！！[doge][doge]"
"14044","蝈蝈梦伴着花香飞翔","1134","玫瑰金不要，大礼包来来来！啦啦啦"
